"","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"31",142.8,141.9,131.5,135.1,131.2,127.8,124.5,121.3,117.9,110.2,113.9,103.1,93.1,93.1,97.5,99.4,102.8,103.9,103.3,106.1,112.1,110.8,118.7,128,129.1,139.2,138.3,133.5,133.1,132.3,135,135.6,135.1,129.4,132.5,134.5,138.2,136.9,138,141.4,146.2,142.2,136.4,129.2,121,113.1,111.1,112.2,114.1,112,113.5,101,91.9,88.2,83.7,85.1,86.2,82.7,86.6,86.5,93.2,94.2,97.3,98.7,103.5,105.7,103.6,108.5,110.8,117,114.5,117.6,120.2,119.8,119.7,120.8,118.8,120.6,120.4,122,118.669619,119.11992344855,123.215926401859,123.993634150908,129.419934134989,131.899817595061,139.720488581451,140.330929028838,134.90384549556,135.029653466663,134.558766560781,133.134786613448,134.198747708497,127.640754648071,128.558181358361
"32",145.3,146.8,142.7,133.4,136.2,128.9,129.6,122.1,115.9,115.4,104,104.9,104.8,90.3,94,99.9,98.3,100.9,99,99.8,105,107.3,116.6,121.8,125.8,135.4,129.9,126.7,122.3,124.9,120.5,126.1,122.9,120.9,121.7,125.3,126.2,125.2,128.3,125.7,130.5,131.4,123,123.8,111.4,104,101.8,101.4,102.6,97.7,96.7,91.3,79.3,74.8,72.1,68.1,70.6,70.8,70.4,73.5,75.5,79.4,77.6,82.7,86,87.1,90.1,90.9,96.2,103.6,99.9,105.1,106.3,107.7,109.4,108.1,109.5,110.3,110.5,112.5,111.694836,114.87084164994,113.702819470791,118.937017181779,123.67502885419,127.899631156728,134.140873440162,135.921123493102,131.418702128531,133.515482695811,128.74674160697,130.697157376529,128.502637564729,125.278075306913,126.524364412763
"33",133.2,132.1,129.9,126.7,118.4,117.4,116.6,113.2,103.4,103.5,91.6,84.9,92,90.5,81.9,86,90.8,88.4,88.2,89,93.3,94.3,107.6,115.3,114.5,119.4,119.8,111.6,111,110.4,109.6,109.5,110.5,105,105.5,108.8,109.9,109.9,107.4,111.3,113.5,111.5,108.6,105.1,97.2,91.5,90.5,86.9,86,82.8,82.6,74,65.7,62.2,57.5,55.4,55.9,56,55.8,58.2,61.9,62.7,67.5,64.8,69.6,72.4,75,76.7,79.9,85.7,86.5,91.5,90.4,91.9,94.2,94.5,95.6,97.4,99.2,102.7,101.472355,103.990080325424,106.28131234702,109.207816031505,115.243543206826,119.439077921907,124.544748540517,126.916143722639,124.050615743503,123.756697302185,121.522664729909,124.307072064505,121.010580057436,117.920353982301,119.210892756224
"34",125,126.9,120.2,121.8,119.2,106.9,107.9,106.7,102,95.1,87.3,80.9,81.8,86.1,85.6,76.8,78.4,81.9,81.7,81,84,85.5,94.3,104.8,109.9,108,107.5,99.9,97.3,100.1,97.4,99.8,96.8,96.9,98,95.2,99.5,98.7,95.2,96.3,99.9,96.3,94.9,92,82.8,80,77,77.9,75,73.6,68.6,62.8,55.6,51.4,46.7,44.4,46.9,46.1,46.7,47.3,49,51,50.7,53.3,56,57.6,59.9,62.9,66,69.2,71,75.3,76.3,77.6,78.9,81,83.5,84.6,87.3,88.3,88.28596,93.0579751475753,95.6560609781809,99.5627624917894,102.5390625,107.792256751153,115.495749974085,115.193866865133,115.130066182792,113.702545659496,111.49360873162,113.22749932677,111.779627528713,107.536997951264,111.303904963817
"35",119.1,114.6,112.1,108.2,111.1,103.2,98.3,96.9,88.9,92.8,82.3,76,75.8,71.3,77.7,78.5,69.1,69.3,73,74.1,77,77.5,79.8,95.2,97.6,101.6,96.8,91.6,88.6,88.9,85.7,87.7,88,85.9,87.3,82.8,84.8,85.5,86.5,84.5,84.1,84.7,80,78.9,71.1,70.2,67,67,65.9,62.2,58.8,52.6,45.7,42.2,39.3,36.5,35,36.3,37.1,36.3,38.8,38.4,39.6,40.9,44.5,44.7,48.4,49.9,51.9,58,56.3,61.6,60.8,63.8,65.4,67.1,69,70.3,72.3,75.8,74.61888,80.467359597061,81.708940749694,86.7587544733938,90.0852843360005,93.6420969405719,101.75684127741,105.591488384554,101.796717908802,102.431689123682,100.360948436887,102.24350331165,100.359933849995,98.9508085020473,98.0287365853958
"36",110.1,109.5,106.8,103.8,101.2,99,94.3,85.9,84.7,84.3,75,69.8,66.4,64.2,61.2,71.7,69.7,60.5,62.6,66.2,65,67.7,74.7,80.7,86,90.7,86.4,80.4,77.1,77.7,75.1,75,76.4,74.9,72.6,74.9,74.3,73.9,72.1,73.1,73.2,71.8,71.1,68.9,63.5,60.1,56.3,54.7,53.5,53.2,51.3,43.8,38.4,34.1,30.5,28.2,29.2,28.3,28.8,29.4,29.2,31.3,30,32,31.8,34.7,35.2,38.2,41.7,42.8,45.5,47.2,49,50.6,52.3,52.8,55.9,56.8,58.4,61.2,61.130593,63.8898520354597,67.031485172726,70.8683144889245,76.3599646598511,78.5022578371747,82.4042331650703,87.0111569970659,86.0345521299603,87.5944750174983,86.4877924554175,86.0417637675356,85.2413416607634,81.6592680153412,83.1358238340669
"37",98.7,96.7,92.8,91,92.2,84.7,84.7,81,72,74.8,65.4,62.1,61.5,57.8,53.3,54.1,61.5,59.2,52.5,54.4,56.7,59.2,63.3,71.2,75.5,75.5,73.7,68.6,63.1,67.8,63.2,65.7,64.7,63.5,62.4,63.4,63.6,61.6,62,60,65.1,60.1,58.1,57.7,53.5,49.5,48.2,45.9,43.9,43.1,42.5,36.7,30.6,27.4,24.4,24.2,22.7,21.5,21.3,22,21.9,23.1,22.3,22.3,25.2,25.6,27,28.2,30.5,32,33,36.2,35.5,39.7,40.2,42.2,42.3,43.5,45.5,47.6,47.56627,51.0434069932425,52.9605259330983,55.4211828669013,59.6407974050733,62.5342226268464,67.004036853186,68.835016673464,70.0023462457061,71.9294967613353,70.1773363281772,71.5097360673519,70.0960370901866,67.3808034361114,68.7020464439366
"38",97.1,98,88.2,87.5,84.2,82.8,78.7,79.4,73.6,67.2,63.3,59.4,55.9,54.1,51.4,52.6,48.7,51.6,51.3,46,49.5,50.7,55.4,63.8,65.5,68,63.8,62,60,58.4,55.2,56.5,55.1,55.2,56,53.9,54.3,54.6,52.3,51.5,51.8,50.7,49.3,48.5,42.7,41.1,38.6,38.6,36.5,37.4,33.6,32,26.1,22.6,19.8,17.2,18,16.8,15.1,16.1,17.6,17,17.3,17.3,17,18.8,18.9,20.8,22.2,24.3,25.7,26.3,28.2,28.3,30.4,31.4,33.1,32.3,33.9,36.8,36.646225,38.7435583742928,41.0230281694679,43.0354117598446,45.9359307359307,48.4512761811319,53.4624344408438,55.707953924893,53.149186963005,56.0745991903317,56.031551747586,56.0307901632735,55.7461899741206,53.0742459396752,54.6710184609268
"39",81.1,83,75.6,73.8,72.8,69.5,70.1,69.3,64.3,58.7,53.5,48.5,47.1,44.7,42.1,43.1,42.8,40.5,43.5,41.7,39.6,42.7,46.6,51.3,53.3,52.9,51.7,50.1,49.7,48,44.9,45.7,44.4,44.9,43.2,42.8,44.1,42.1,43.9,42.5,42.7,40.7,40.8,39.3,35.3,33.1,31.3,30,30.4,29.6,27.4,22.4,20.4,17.7,15.2,13.2,13.3,13.4,13.4,11.9,12,13.1,11.8,12.3,12.9,12.6,14.3,14.9,16.3,16,17.7,18.9,19.5,21.6,21.4,23,22.8,24.9,24.4,26.1,27.039309,29.0467157734848,30.0565353166357,31.7870753318487,33.3246532536593,36.116154946627,39.5243610116082,42.1779879014927,41.2331720524455,41.8219971395747,42.5056589500062,44.0965977905825,43.7521067678748,42.9057355722246,41.3597225160765
"40",67.4,66.8,66.1,61.8,62.1,56.8,55,53.8,51,50.4,43.7,39.4,39.6,38.6,35.9,34.8,34.1,33,33.5,32.9,36,30.7,35.4,40,40.4,43.9,41,38.8,36.4,37.6,37.2,34.9,36.1,34.4,35.8,34.2,34.8,32.1,32.4,34.1,33.3,30.8,32.6,29.2,26.8,24.3,24.2,23.8,22.4,21.7,20.2,18.1,16,13.5,11.7,9.7,9.1,8.6,8.7,9.1,8.7,9.1,8.6,8.5,8.7,8.6,9.4,9.6,10.2,12.3,11,13.5,13.6,14.3,14.7,15.4,15.6,16.5,17.8,17.8,18.041919,20.0920596111997,20.6690712987611,22.2376422993081,23.1656325869976,24.7376311844078,27.8398256605829,30.012563398632,29.1411528549085,30.6139571305164,29.6572781944412,30.2467653415647,31.478805687434,29.3969958278831,30.761842171781
"41",50.3,46.8,45,44,43.7,43.2,40.1,38.2,38.1,35,33.6,30.6,27.5,27.5,25.2,25.8,24.3,24.8,22.6,23.2,24.1,25.9,24.4,26.3,30.7,31.7,29.5,27.7,25.8,27.2,25.8,25.5,24.4,24.9,24,24.9,25,23.6,24.4,22.8,23.7,22.9,22.1,21,19.6,18.3,16.6,16.1,15.4,15.4,15.4,12.4,10.3,9.8,8.1,7,6.1,5.7,5.8,5.4,6.2,5.7,5.9,5.5,5.1,5.7,6,5.5,6.7,7.1,7.4,8,8.2,8.8,9.7,10,10.1,10.8,11.3,11.9,12.470567,12.9869008292019,13.8743773914117,13.6810080336526,15.6988939119559,15.921472853654,18.2298886326907,20.3835394829969,19.9794879886395,20.184591445548,20.2663542758493,19.8859877704339,21.0211083328488,20.2804342441506,19.9661674095843
"42",44.7,42.4,38.9,39.4,39.7,38.3,34.8,34.3,31.8,31.7,27.8,28,24.4,25.4,23.1,22.2,22.1,20.1,17.9,19.6,17,20.9,21.2,21.4,22.2,22.9,21.3,22.1,20.7,19.6,19.8,20.7,19.3,19,20.1,18.7,18,18.6,18.2,16.8,17.6,18.2,17.6,15.6,14.6,13.9,13.4,11.7,11.6,10.9,10.1,10.3,8.1,7,5.5,5.2,5,3.7,3.8,3.5,3.3,3.7,3.6,4.1,3.9,3.3,3.8,3.8,4.1,4.3,4.5,4.8,5.1,5.7,6,6.2,6.1,6.9,7,7.2,7.802601,7.885850263663,8.35731625864982,9.27769294702051,8.75905860944338,10.0555616786499,10.3399112579781,12.2642585423781,12.2270800743385,12.7329922205399,12.7778434434235,12.7231910741921,12.5552901374967,11.9115144639818,12.3811243529553
"43",30.2,30.4,29.9,25.8,26.1,25,25.2,23.6,21.1,21.4,18.7,18.2,17.2,17,14.7,15.6,13.8,14,13.1,12.4,11.9,12.2,14.5,14.8,14.8,14.8,15,13,12.9,14,12.8,12.3,13.2,12.8,12.6,12.5,12.8,12.6,12.1,11.2,11.8,11,11.5,10,9.2,8.7,8.5,7.8,7.6,7,6.1,5.7,4.8,4,3.8,3.4,2.9,2.6,2.4,2.4,2.3,2.3,2.1,2.1,1.9,2,2.2,2.1,2.1,2.5,2.9,2.8,3,2.9,3.6,3.4,3.5,3.9,3.9,4.1,4.36705,4.60694312033146,4.39426956507226,5.3094269680276,5.43234264164497,5.31090808239877,6.21815132554989,6.74142436571731,6.85379025268351,7.19735520477872,7.30707885420854,7.47964868503947,7.65043938334296,7.15017064846416,7.62720176314135
"44",19.7,18.4,18,16.6,16.8,16.4,15.8,14.8,15.2,13.2,12.9,11.1,12.4,10.8,10.1,9.6,9,9,7.9,8,8,7.2,7.4,8.8,9.6,8.2,8.8,8,8.5,8.3,7.6,6.9,6.9,7.2,7.1,7.5,6.9,7,6.9,6.5,6.8,6.2,6.7,6.1,4.8,5.5,5,5.3,4.2,3.9,3.6,3,2.8,2.2,1.9,1.8,1.5,1.4,1.6,1.1,1,1.2,1.1,1.2,1.3,1.1,1,0.9,1.3,1,1.3,1.5,1.4,1.3,1.6,1.9,1.7,1.5,2,2.2,2.221339,2.34143203672879,2.32317632993768,2.59323127147314,2.8595479986377,2.72660515309217,3.32611828032068,3.40238680644271,3.61818301427538,3.5504138825172,3.75354998444296,4.03101174531218,4.15118671128988,4.19180538392576,4.17529428449865
"45",10.4,10.5,11.4,10.7,10.8,8.8,8.7,10,8.4,7.3,7.8,7.2,6.4,6.2,6,5.6,5.2,5.4,4.8,4.5,4.5,3.9,4.7,4.5,5.3,5.7,5.1,4.6,4.3,4.6,4.2,4.5,3.7,4.2,3.9,4.3,3.7,3.9,4,3.5,3.8,3.2,3,3.1,3.2,2.5,2.7,2.8,2.7,2.1,2,1.9,1.5,1.2,0.9,1.3,0.8,0.7,0.9,0.8,0.7,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.8,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1.1,0.986075,1.16628055039944,1.24255055804823,1.3206674398493,1.20260235263192,1.27098244375261,1.52660102282269,1.55500350823962,1.71442096711254,1.95441875717331,2.03499933713377,2.16065241163063,1.83966104085073,2.11854028900318,2.30622559849883
"46",5.8,4.5,5.6,5,4.8,4.9,4.8,4.6,4.5,4.3,3.4,3.8,3.2,2.8,2.6,2.6,2.6,2.8,2.5,2.3,2.1,2.7,2.1,1.9,2.4,2.7,2.6,2,2,2.2,2.3,2,1.9,1.6,2,2.1,1.8,1.8,2,1.7,1.8,1.6,1.7,1.7,1.4,1.4,1.5,1.2,1.2,1.1,1,1,0.7,0.6,0.5,0.3,0.5,0.3,0.5,0.4,0.4,0.4,0.2,0.4,0.3,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.5,0.4,0.53167,0.548905193097013,0.491595219383891,0.635397806852731,0.671127426964558,0.787582450037738,0.862355315941436,0.779640604696859,0.94566820915659,0.855830826515427,1.00790617309807,1.14109320686767,1.08833903727889,1.21495028295553,1.3769468498516
"47",2.8,2.3,2.7,2.2,2.2,2.6,2.4,2.4,2.3,1.6,1.6,1.8,1.7,1.2,1.4,1.5,1.3,1.3,1.3,1.1,0.9,1,0.9,1,0.6,1,0.8,1,0.9,0.9,0.7,0.9,0.8,0.8,0.6,0.8,0.8,0.9,0.5,0.8,0.9,0.7,0.6,0.7,0.5,0.6,0.5,0.6,0.6,0.4,0.5,0.4,0.4,0.3,0.2,0.3,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.273037,0.215618776707535,0.252754840895717,0.232288037166086,0.259623136520777,0.349760884625991,0.373395871682836,0.324549290127974,0.442606573339909,0.472357631409893,0.548763368130886,0.6519414817326,0.539193445511872,0.615295996648601,0.773553423133722
"48",1.47,1.2,1.07,0.94,1.17,0.93,0.98,1.16,1,1.01,1.2,0.77,0.83,0.53,0.52,0.5,0.58,0.44,0.52,0.28,0.53,0.55,0.31,0.38,0.34,0.63,0.32,0.39,0.54,0.28,0.33,0.39,0.31,0.29,0.29,0.3,0.28,0.26,0.48,0.23,0.27,0.29,0.3,0.28,0.31,0.27,0.2,0.29,0.38,0.19,0.12,0.16,0.22,0.07,0.07,0.09,0.08,0.09,0.06,0.03,0.06,0.04,0.06,0.07,0.15,0.03,0.06,0.07,0.02,0.02,0.02,0.09,0.08,0.05,0.05,0.06,0.06,0.0855864,0.0619955,0.100791,0.0964585,0.0737929663179246,0.129231232684176,0.127225563856631,0.112141410318412,0.23940954765276,0.227874400991924,0.287634338310279,0.209260738880645,0.214726444824777,0.226593233674272,0.349830491225615,0.364293985246094,0.3743473549404,0.438653921697001
"49",0.31,0.45,0.51,0.36,0.32,0.45,0.37,0.35,0.33,0.39,0.29,0.2,0.33,0.23,0.25,0.17,0.17,0.33,0.23,0.14,0.22,0.2,0.07,0.16,0.11,0.16,0.07,0.11,0.3,0.11,0.17,0.11,0.11,0.1,0.1,0.1,0.11,0.13,0.07,0.14,0.07,0.11,0.12,0.1,0.09,0.09,0.13,0.08,0.04,0.03,0.1,0.12,0.09,0.04,0.06,0.04,0.03,0.03,0.05,0.04,0.03,0,0.04,0.04,0.03,0,0.04,0.01,0.02,0.02,0.03,0.04,0.01,0.04,0.05,0.02,0.02,0.0401546,0.0712016,0.152875,0.189262,0.16328837544122,0.169407135443796,0.274856423683944,0.219251715114223,0.293451831977865,0.341217737862885,0.367298419948979,0.33288948069241,0.39855760106282,0.492278175036447,0.502250710998663,0.501752959707332,0.584894134161717,0.761499629097163
